Date,Open,High,Low,Close,Volume
2022/04/27,37.23707249,38.66558176,36.53720004,38.32043839,10210200
2022/04/26,37.58221101,38.32043343,36.90151369,37.02614594,9979700
2022/04/25,37.46717072,37.7260246,35.45383549,37.46717072,10373300
2022/04/22,40.05573263,40.92817666,38.79979885,39.02989197,8827500
2022/04/21,43.03738999,43.35377265,39.95986751,40.44881821,10374600
2022/04/20,42.47626604,43.16460642,42.01737366,42.38066483,8777200
2022/04/19,41.63495634,43.2315226,41.5489138,42.4380188,7131600
2022/04/18,42.17033168,43.01163607,41.54891297,42.04604721,10373400
2022/04/14,41.46287345,42.33285752,41.41507285,41.75924301,5864600
2022/04/13,40.96574325,42.05561676,40.27740649,41.69232559,6519500
2022/04/12,40.13399689,41.35770979,40.10531726,40.32520294,5817500
2022/04/11,40.49728655,40.57376678,38.9389622,39.26401138,9983100
2022/04/08,39.55082001,41.49155652,39.48389844,41.12826538,6951900
2022/04/07,39.74202501,40.0670742,37.62920713,39.19709015,8741500
2022/04/06,40.05751873,40.38256795,38.5852368,39.01544952,7368000
2022/04/05,41.32902848,41.95044721,39.75158681,39.85674667,7330100
2022/04/04,41.10915164,41.76880881,40.41125253,41.09003067,6937800
2022/04/01,39.59861358,40.8127676,39.59861358,40.36343765,5005400
2022/03/31,39.25445325,40.88925785,39.0058843,39.51258087,7934500
2022/03/30,39.62730086,40.49728486,38.89115998,39.38829422,9015800
2022/03/29,37.17031442,39.16841012,36.82614427,39.15884781,7534500
2022/03/28,38.71907884,38.71907884,37.21811731,38.09766006,7191100
2022/03/25,38.66171205,40.2391573,38.47050966,39.70378113,5891400
2022/03/24,39.00588397,39.89498899,38.57567128,38.986763,5551700
2022/03/23,39.57949857,39.90454773,38.52786723,38.91983795,8012900
2022/03/22,38.89116526,39.46477981,38.09766138,38.73820114,7202900
2022/03/21,38.36534702,39.89498806,38.28886314,39.08236694,8093600
2022/03/18,37.4188812,37.64832919,36.94086789,37.39020157,11795000
2022/03/17,36.15692545,38.09765826,35.9657194,37.69612885,9280800
2022/03/16,35.1817717,35.49726218,34.3117878,35.2295723,10542400
2022/03/15,34.00586302,35.22001714,33.26972216,35.08617401,11132700
2022/03/14,36.33856684,36.79746279,34.83760548,35.92747879,11775900
2022/03/11,37.8204156,38.38447147,37.28503936,37.33283997,8395100
2022/03/10,37.34240263,38.43227244,36.55846106,38.27930832,10804000
2022/03/09,35.36342902,37.18943986,34.76113118,36.9982338,13634700
2022/03/08,37.40932205,39.38829683,35.81275572,36.93130875,16485200
2022/03/07,38.1550238,38.77644259,35.68847692,36.25252914,15962100
2022/03/04,36.74965853,37.98293363,36.23340698,37.743927,14536200
2022/03/03,35.55462957,36.60626107,35.47814934,36.59669876,11157200
2022/03/02,36.32901548,37.447565,35.5737535,36.20473099,12209000
2022/03/01,34.69420016,35.98483439,34.40739296,35.65022659,15356900
2022/02/28,31.97908676,34.10146308,31.84524363,34.06322479,12942500
2022/02/25,30.7266954,32.2563402,30.71713674,32.18941498,9284100
2022/02/24,29.76110583,31.02306242,28.63299603,30.88921928,14283800
2022/02/23,30.0574772,30.86053788,29.3022153,29.47430038,10600300
2022/02/22,31.56799616,31.77832316,29.09188733,29.67506409,14908200
2022/02/18,30.41120749,30.94658191,30.03835768,30.74581718,8774300
2022/02/17,30.85097608,31.77832297,30.68844968,30.96569824,6808500
2022/02/16,30.99437901,31.76876183,30.57372864,30.97526169,7334700
2022/02/15,29.68462484,30.95614196,29.54122122,30.81273651,6883700
2022/02/14,32.36150071,32.65787029,30.53549178,30.72669601,12322300
2022/02/11,32.16073486,32.9446764,31.89304857,32.63874817,12781100
2022/02/10,31.78788845,33.08808537,31.67316626,31.98865318,8841800
2022/02/09,31.29074924,32.41886088,31.26206961,31.95996857,7594000
2022/02/08,32.29457898,32.39018384,30.89878095,31.42459488,10434400
2022/02/07,32.67699256,33.25060712,31.81656708,32.59095001,7647000
2022/02/04,33.50873458,34.85673206,32.89687808,32.97336197,10324900
2022/02/03,32.86819981,33.60434083,32.40930742,33.02116394,6909200
2022/02/02,33.23148078,33.37488622,32.33281715,33.24104309,6537600
2022/02/01,31.56800152,33.45137525,31.17603073,33.1836853,9075600
2022/01/31,31.64447601,32.07468867,30.96569806,31.74963951,7038300
2022/01/28,31.61579788,32.4857819,30.6788923,31.71139908,7526800
2022/01/27,32.3710578,32.97335552,30.85097553,31.50107384,8766200
2022/01/26,32.06512916,32.78214902,30.90833798,31.65403748,12034100
2022/01/25,28.96760661,31.9312914,28.30794954,31.61580086,14303100
2022/01/24,27.71520974,29.34045562,26.7496227,29.197052,10338600
2022/01/21,29.44561711,29.67506508,28.17410186,28.77639961,9839500
2022/01/20,30.38252442,31.42459169,29.78022668,29.8758297,8783800
2022/01/19,31.77944997,31.93182358,30.56998287,30.8366394,8146800
2022/01/18,32.47465462,32.76035832,30.92234963,31.39851761,9779200
2022/01/14,30.7699773,31.77945113,30.16048103,31.70326614,11022000
2022/01/13,31.10328837,31.72230812,30.42713079,30.56045723,8109000
2022/01/12,31.26518983,31.51279557,30.36999174,31.09376907,16272500
2022/01/11,28.34151643,30.60807506,28.0843853,30.47474861,12299200
2022/01/10,28.22723633,28.41770425,27.28442398,28.01772308,10408600
2022/01/07,28.42722864,28.85577873,28.01772389,28.25580788,8355400
2022/01/06,27.96058336,28.48436739,27.4082286,28.20819092,7626800
2022/01/05,28.57007481,28.65578518,27.01776822,27.04633713,9212700
2022/01/04,27.33204477,28.51294123,27.23681081,28.05581856,13218200
2022/01/03,25.78925869,26.79873434,25.69402473,26.72254753,9319700
2021/12/31,25.59878903,25.89401448,25.26547291,25.60831261,5037100
2021/12/30,26.57969815,26.85587647,25.7225961,25.77021217,5387900
2021/12/29,26.56064759,27.15109665,26.28447113,26.57969475,7091300
2021/12/28,26.93205945,27.26537556,26.40827363,26.59874153,6778600
2021/12/27,24.70359257,26.6749275,24.29408786,26.63683319,8832300
2021/12/23,24.66550111,25.17023983,24.64645396,24.8273983,4694400
2021/12/22,23.75126035,24.95120393,23.69411888,24.59883881,10304800
2021/12/21,23.34175571,24.18933417,23.32270855,24.13219452,5777100
2021/12/20,22.28465747,22.83701217,21.84658387,22.79891968,7124000
2021/12/17,23.15128759,23.74173671,22.79892429,23.21795082,16747400
2021/12/16,24.33218363,24.60836194,23.38937123,23.60840988,8682200
2021/12/15,23.6750727,24.02743599,22.5417924,23.90363312,7724600
2021/12/14,23.60840864,24.48455595,23.47508037,23.76078224,7080100
2021/12/13,25.08452781,25.31308821,23.96077115,24.07505226,10501600
2021/12/10,25.26547344,25.53212635,24.57026682,25.3987999,8941500
2021/12/09,24.97976891,25.22737644,24.71311603,24.78930283,10568200
2021/12/08,25.60831198,25.90353742,25.34165908,25.36070442,7695300
2021/12/07,25.16071537,26.1511438,25.04643426,25.60831261,7865500
2021/12/06,25.1226225,25.21785646,24.12267044,24.61788559,8350700
2021/12/03,25.43689485,25.68450244,24.07505583,24.36075592,14816300
2021/12/02,24.00838857,25.08452922,23.58936206,24.93215561,11459600
2021/12/01,25.57974148,25.87496508,23.99886411,24.04648018,11199800
2021/11/30,24.04648518,25.24642882,23.83697191,24.54170036,12519300
2021/11/29,26.12257611,26.36066011,25.09405333,25.55117416,9203200
2021/11/26,25.09405158,25.28451768,23.87506097,24.98929405,8469000
2021/11/24,26.63683406,27.81773034,26.63683406,27.24633026,8531600
2021/11/23,25.88449039,27.14157351,25.77973286,27.11300278,10602000
2021/11/22,24.81787524,26.05591311,24.68454879,25.26547432,11652900
2021/11/19,25.33213844,25.72259606,24.4274185,24.76073647,12427500
2021/11/18,26.26542664,26.98920221,25.65593218,26.26542664,10884400
2021/11/17,28.06534143,28.13200648,26.27495054,26.34161377,9608100
2021/11/16,28.40818059,28.89387213,28.09390981,28.20819092,9441000
2021/11/15,27.73202501,28.50341666,27.6939307,28.19866943,6317000
2021/11/12,27.76058951,28.26532816,27.55107628,28.04629135,6988700
2021/11/11,27.54155343,28.48436572,27.5129827,28.00819778,6266500
2021/11/10,28.4367496,28.73197321,27.07490902,27.36060905,8288500
2021/11/09,29.14147963,29.47479756,28.19866728,28.57960129,13452500
2021/11/08,28.88434905,29.65574066,28.68435938,29.19861984,8323000
2021/11/05,28.70340246,28.89387036,27.7129741,28.47484207,12499800
2021/11/04,26.99872486,28.5415081,26.77968802,27.69392967,17673100
2021/11/03,25.71306897,26.69397559,25.62735859,26.31303978,9250600
2021/11/02,25.60831057,26.17971245,25.42736807,25.98924637,6715400
2021/11/01,25.64640906,26.0273431,25.24642786,25.87496948,7418100
2021/10/29,25.77021175,25.77973533,24.67502571,24.96072578,7372000
2021/10/28,25.57022022,25.88449101,25.17976263,25.78925705,10173000
2021/10/27,26.18923792,26.77968699,25.4654624,25.617836,11507100
2021/10/26,27.31299485,27.31299485,26.68445328,26.80825615,8633700
2021/10/25,26.93206136,27.40822933,26.58921983,26.87491989,9091200
2021/10/22,25.90353971,26.52255774,25.78925859,26.36066055,10649400
2021/10/21,26.03686602,26.28447359,25.37975368,25.72259521,8001600
2021/10/20,25.10297325,26.19564583,24.95094933,26.0816288,8128000
2021/10/19,25.92009932,26.19564195,25.37851216,25.52103615,8642800
2021/10/18,25.46402485,26.77523316,25.34050612,25.58754539,12258800
2021/10/15,25.3310045,25.67305916,24.98894985,25.05546188,11901800
2021/10/14,24.06730592,24.96044767,23.79176329,24.91293907,11682200
2021/10/13,23.04114312,23.73475236,22.61357479,23.38319778,9086600
2021/10/12,23.16466488,23.8487743,22.94613073,23.50671959,10049400
2021/10/11,23.84876964,24.06730375,23.11715358,23.20266724,13742200
2021/10/08,22.09099306,23.25967741,22.01498111,23.1456604,19303000
2021/10/07,21.18835031,21.98647668,20.87480079,21.66342545,16379600
2021/10/06,20.49474123,21.1883505,20.38072421,20.99832153,9744800
2021/10/05,21.45439301,21.97697493,20.82729397,21.10283661,13250900
2021/10/04,21.2168548,21.53990602,20.77028484,20.9603138,13521800
2021/10/01,20.66577102,21.11234105,20.27620951,20.71327782,10977100
2021/09/30,19.72511658,20.65626325,19.50658248,20.36171722,11279100
2021/09/29,20.26670432,20.54224876,19.75362414,20.20969582,10904300
2021/09/28,22.40454228,22.59457305,20.53274698,20.60875893,18722200
2021/09/27,21.57791068,22.18600805,21.53040389,22.10049438,17101300
2021/09/24,20.30471267,21.06483219,20.09567845,20.81779289,9071100
2021/09/23,19.16453133,20.59925848,18.9459972,20.46623802,14040800
2021/09/22,18.20488012,19.48758342,18.20488012,19.11702538,16377700
2021/09/21,18.30939322,18.38540516,17.62528398,17.83431816,6147400
2021/09/20,18.41391042,18.43291386,17.59678246,17.96734047,6853600
2021/09/17,19.33556081,19.69661717,18.99350609,19.13602829,6917600
2021/09/16,19.60159879,19.66811083,19.22153906,19.46857834,5479300
2021/09/15,18.84148053,19.60160005,18.84148053,19.59210014,7943700
2021/09/14,19.47808289,19.50658805,18.26188974,18.38541031,6397500
2021/09/13,18.10036126,19.15502861,18.10036126,19.14552689,7708200
2021/09/10,18.25238516,18.35690226,17.74880669,17.75830841,4974400
2021/09/09,17.8913318,18.35690527,17.71080272,17.9863472,5977500
2021/09/08,18.78447353,18.94599916,18.07186074,18.09086418,4783700
2021/09/07,18.4424177,18.84148091,18.30939724,18.55643654,8167700
2021/09/03,18.83197913,19.04101336,18.51842959,18.68945694,6764400
2021/09/02,18.29989437,19.06001386,18.26188749,18.86048317,7493500
2021/09/01,18.3759053,18.54693263,17.78681137,18.10036087,7365100
2021/08/31,17.56827605,18.64194674,17.53027099,18.50892448,9325300
2021/08/30,18.10986281,18.10986281,17.53977232,17.72980309,6182200
2021/08/27,17.01719014,17.88182669,17.01719014,17.80581474,6669000
2021/08/26,17.12171228,17.25473277,16.66564048,16.80816269,5722400
2021/08/25,17.03619215,17.34974162,16.75114602,17.22622108,7324400
2021/08/24,16.75114941,17.20722294,16.58012387,17.00769043,8581700
2021/08/23,15.82950301,16.51361053,15.82950301,16.42809868,11165300
2021/08/20,15.03137666,15.34492617,14.92686046,15.26891422,8940200
2021/08/19,15.35442695,15.6964816,14.77483566,15.20240307,11345000
2021/08/18,16.12404791,16.41859578,15.75348992,15.77249336,7111900
2021/08/17,16.03853548,16.42809875,15.95302362,16.02903557,7127600
2021/08/16,16.61812814,16.65613502,16.1905616,16.27607346,7272200
